"No","Type","Region","City,Town,Ward,Village code","Prefecture","City,Town,Ward,Village","Area","Nearest station：Name","Nearest station：Distance(minute)","Transaction-price(total)","Layout","Area(m^2)","Transaction-price(Unit price m^2)","Land shape","Frontage","Total floor area(m^2)","Year of construction","Building structure","Use","Purpose of Use","Frontage road：Direction","Frontage road：Classification","Frontage road：Breadth(m)","City Planning","Maximus Building Coverage Ratio(%)","Maximus Floor-area Ratio(%)","Transaction period","Renovation","Transactional factors"
64,"Residential Land(Land Only)","Residential Area","22131","Shizuoka Prefecture","Naka Ward,Hamamatsu City","Nasubicho","Hamamatsu","30-60minutes",12000000,"","110",110000,"Semi-square Shaped","11.0","","","","","","Northeast","City Road",5.0,"Category 1 Residential District",60,200,"4th quarter 2017","",""
65,"Residential Land(Land Only)","Residential Area","22131","Shizuoka Prefecture","Naka Ward,Hamamatsu City","Nazukacho","Hamamatsu","29",17000000,"","185",90000,"Rectangular Shaped","9.0","","","","","","South","City Road",3.5,"Category 1 Residential District",60,200,"4th quarter 2017","",""
66,"Residential Land(Land Only)","Residential Area","22131","Shizuoka Prefecture","Naka Ward,Hamamatsu City","Nishiasada","Hamamatsu","19",6000000,"","105",57000,"Rectangular Shaped","9.5","","","","","House","East","City Road",3.0,"Near Commercial District",80,300,"4th quarter 2017","",""
67,"Pre-owned Condominiums, etc.","","22131","Shizuoka Prefecture","Naka Ward,Hamamatsu City","Nishiibacho","Hamamatsu","30-60minutes",1500000,"1LDK","35",,"","","","1974","","","House","","",,"Semi-residential District",60,200,"4th quarter 2017","Done",""
68,"Residential Land(Land and Building)","Commercial Area","22131","Shizuoka Prefecture","Naka Ward,Hamamatsu City","Nunohashi","Hamamatsu","30-60minutes",23000000,"","460",,"Irregular Shaped","8.0","130","1992","LS","Housing Complex","Other","North","City Road",25.0,"Category 2 Residential District",60,200,"4th quarter 2017","",""
69,"Residential Land(Land Only)","Residential Area","22131","Shizuoka Prefecture","Naka Ward,Hamamatsu City","Nunohashi","Hamamatsu","30-60minutes",7700000,"","125",61000,"Semi-rectangular Shaped","7.5","","","","","House","West","City Road",4.2,"Category 1 Residential District",60,200,"4th quarter 2017","",""
70,"Residential Land(Land Only)","Residential Area","22131","Shizuoka Prefecture","Naka Ward,Hamamatsu City","Hagioka","Hamamatsu","1H-1H30",11000000,"","105",100000,"Semi-rectangular Shaped","12.0","","","","","House","Southeast","City Road",5.0,"Category 1 Residential District",60,200,"4th quarter 2017","",""
71,"Residential Land(Land and Building)","Residential Area","22131","Shizuoka Prefecture","Naka Ward,Hamamatsu City","Hagioka","Hamamatsu","1H-1H30",27000000,"","125",,"Semi-square Shaped","10.0","105","2017","W","House","House","West","City Road",6.0,"Category 1 Residential District",60,200,"4th quarter 2017","",""
72,"Agricultural Land","","22131","Shizuoka Prefecture","Naka Ward,Hamamatsu City","Hanakawacho","","",2500000,"","250",,"","","","","","","","","",,"",,,"4th quarter 2017","",""
73,"Residential Land(Land Only)","Residential Area","22131","Shizuoka Prefecture","Naka Ward,Hamamatsu City","Higashiiba","Hamamatsu","21",1000000,"","125",8000,"Semi-rectangular Shaped","13.0","","","","","Other","East","Private Road",2.0,"Category 1 Exclusive Mid-high Rise Residential District",60,200,"4th quarter 2017","",""
74,"Pre-owned Condominiums, etc.","","22131","Shizuoka Prefecture","Naka Ward,Hamamatsu City","Higashiiba","Hamamatsu","30-60minutes",27000000,"2LDK","80",,"","","","2013","RC","","House","","",,"Category 2 Residential District",60,200,"4th quarter 2017","Not yet",""
75,"Pre-owned Condominiums, etc.","","22131","Shizuoka Prefecture","Naka Ward,Hamamatsu City","Hikuma","Hamamatsu","30-60minutes",19000000,"3LDK","75",,"","","","","","House","House","","",,"Category 1 Residential District",60,200,"4th quarter 2017","Not yet",""
76,"Pre-owned Condominiums, etc.","","22131","Shizuoka Prefecture","Naka Ward,Hamamatsu City","Hikumacho","Hamamatsu","30-60minutes",28000000,"4LDK","95",,"","","","2005","","","House","","",,"Category 1 Residential District",60,200,"4th quarter 2017","Not yet",""
77,"Residential Land(Land Only)","Residential Area","22131","Shizuoka Prefecture","Naka Ward,Hamamatsu City","Hirosawa","Hamamatsu","30-60minutes",28000000,"","270",100000,"Irregular Shaped","","","","","","","Southwest","Road",3.0,"Category 1 Exclusive Mid-high Rise Residential District",60,200,"4th quarter 2017","",""
